id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm324870,Dude,MOVIE,Four best friends negotiate loss and major life changes during the last two weeks of high school.,2018,,90.0,"['comedy', 'drama']",['US'],,tt3458510,5.2,6873.0,10.798,5.5
tm406111,The Debt Collector,MOVIE,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",2018,,95.0,"['action', 'comedy']","['US', 'GB']",,tt7448180,5.8,7541.0,29.382,5.9
ts81918,Sugar Rush,SHOW,"A relentlessly fast-paced baking competition that challenges brilliant bakers to create sweet treats that look and taste amazing – all against the clock. Who will race to the finish and win $10,000?",2018,TV-PG,51.0,['reality'],['US'],3.0,tt8680560,7.0,1516.0,8.74,7.0
ts85686,The Casketeers,SHOW,"Francis and Kaiora Tipene are the passionate proprietors of Tipene Funerals. This is a unique opportunity to look behind the scenes of their business and into this little-explored but vital service, where our culture's last taboo is being addressed with dignity and aroha.",2018,TV-14,22.0,"['reality', 'documentation']",['NZ'],5.0,tt8365054,7.4,459.0,3.095,6.3
tm298339,Handsome Devil,MOVIE,A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,2017,,95.0,"['drama', 'comedy', 'sport', 'european']",['IE'],,tt5016946,7.0,14290.0,12.021,7.1
tm245937,Win It All,MOVIE,A gambling addict faces a conflict when entrusted with keeping a bunch of money that isn't his.,2017,,88.0,['comedy'],['US'],,tt3155328,6.2,9309.0,5.181,5.7
tm464542,Tottaa Pataaka Item Maal,MOVIE,"Four women from Delhi, NCR and Gurgaon, tired of dealing with the incessant fear or rape, decide to teach one man how it feels to be afraid of being raped, on a daily basis.",2018,,107.0,['drama'],['IN'],,tt9000388,7.6,7911.0,3.231,5.0
tm356742,Trolls Holiday,MOVIE,"When the eternally optimistic Poppy, queen of the Trolls, learns that the Bergens no longer have any holidays on their calendar, she enlists the help of Branch and the rest of the gang on a delightfully quirky mission to fix something that the Bergens don't think is broken.",2017,PG,26.0,"['fantasy', 'comedy', 'family', 'romance', 'animation']",[],,tt6645614,6.1,2764.0,21.838,6.7
tm351216,Joan Didion: The Center Will Not Hold,MOVIE,"Griffin Dunne’s years-in-the-making documentary portrait of his aunt Joan Didion moves with the spirit of her uncannily lucid writing: the film simultaneously expands and zeroes in, covering a vast stretch of turbulent cultural history with elegance and candor.",2017,,92.0,['documentation'],['US'],,tt7253506,7.4,2622.0,5.069,7.1
ts83360,The Guest,SHOW,"The story of a psychic, a priest, and a detective who fight unusual crimes committed by strange powers.",2018,TV-MA,66.0,"['drama', 'crime', 'thriller', 'horror', 'comedy']",['KR'],1.0,tt8801670,8.1,1578.0,7.293,8.2
